@relation 'dataSet-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DC:\\Users\\muss\\Desktop\\My GitHub Repos\\Python-Mini-Projects\\ArffCreator\\ImageMixed-weka.filters.unsupervised.instance.imagefilter.EdgeHistogramFilter-DC:\\Users\\muss\\Desktop\\My GitHub Repos\\Python-Mini-Projects\\ArffCreator\\ImageMixed-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement'

@attribute fileName string
@attribute 'MPEG-7 Edge Histogram0' numeric
@attribute 'MPEG-7 Edge Histogram1' numeric
@attribute 'MPEG-7 Edge Histogram2' numeric
@attribute 'MPEG-7 Edge Histogram3' numeric
@attribute 'MPEG-7 Edge Histogram4' numeric
@attribute 'MPEG-7 Edge Histogram5' numeric
@attribute 'MPEG-7 Edge Histogram6' numeric
@attribute 'MPEG-7 Edge Histogram7' numeric
@attribute 'MPEG-7 Edge Histogram8' numeric
@attribute 'MPEG-7 Edge Histogram9' numeric
@attribute 'MPEG-7 Edge Histogram10' numeric
@attribute 'MPEG-7 Edge Histogram11' numeric
@attribute 'MPEG-7 Edge Histogram12' numeric
@attribute 'MPEG-7 Edge Histogram13' numeric
@attribute 'MPEG-7 Edge Histogram14' numeric
@attribute 'MPEG-7 Edge Histogram15' numeric
@attribute 'MPEG-7 Edge Histogram16' numeric
@attribute 'MPEG-7 Edge Histogram17' numeric
@attribute 'MPEG-7 Edge Histogram18' numeric
@attribute 'MPEG-7 Edge Histogram19' numeric
@attribute 'MPEG-7 Edge Histogram20' numeric
@attribute 'MPEG-7 Edge Histogram21' numeric
@attribute 'MPEG-7 Edge Histogram22' numeric
@attribute 'MPEG-7 Edge Histogram23' numeric
@attribute 'MPEG-7 Edge Histogram24' numeric
@attribute 'MPEG-7 Edge Histogram25' numeric
@attribute 'MPEG-7 Edge Histogram26' numeric
@attribute 'MPEG-7 Edge Histogram27' numeric
@attribute 'MPEG-7 Edge Histogram28' numeric
@attribute 'MPEG-7 Edge Histogram29' numeric
@attribute 'MPEG-7 Edge Histogram30' numeric
@attribute 'MPEG-7 Edge Histogram31' numeric
@attribute 'MPEG-7 Edge Histogram32' numeric
@attribute 'MPEG-7 Edge Histogram33' numeric
@attribute 'MPEG-7 Edge Histogram34' numeric
@attribute 'MPEG-7 Edge Histogram35' numeric
@attribute 'MPEG-7 Edge Histogram36' numeric
@attribute 'MPEG-7 Edge Histogram37' numeric
@attribute 'MPEG-7 Edge Histogram38' numeric
@attribute 'MPEG-7 Edge Histogram39' numeric
@attribute 'MPEG-7 Edge Histogram40' numeric
@attribute 'MPEG-7 Edge Histogram41' numeric
@attribute 'MPEG-7 Edge Histogram42' numeric
@attribute 'MPEG-7 Edge Histogram43' numeric
@attribute 'MPEG-7 Edge Histogram44' numeric
@attribute 'MPEG-7 Edge Histogram45' numeric
@attribute 'MPEG-7 Edge Histogram46' numeric
@attribute 'MPEG-7 Edge Histogram47' numeric
@attribute 'MPEG-7 Edge Histogram48' numeric
@attribute 'MPEG-7 Edge Histogram49' numeric
@attribute 'MPEG-7 Edge Histogram50' numeric
@attribute 'MPEG-7 Edge Histogram51' numeric
@attribute 'MPEG-7 Edge Histogram52' numeric
@attribute 'MPEG-7 Edge Histogram53' numeric
@attribute 'MPEG-7 Edge Histogram54' numeric
@attribute 'MPEG-7 Edge Histogram55' numeric
@attribute 'MPEG-7 Edge Histogram56' numeric
@attribute 'MPEG-7 Edge Histogram57' numeric
@attribute 'MPEG-7 Edge Histogram58' numeric
@attribute 'MPEG-7 Edge Histogram59' numeric
@attribute 'MPEG-7 Edge Histogram60' numeric
@attribute 'MPEG-7 Edge Histogram61' numeric
@attribute 'MPEG-7 Edge Histogram62' numeric
@attribute 'MPEG-7 Edge Histogram63' numeric
@attribute 'MPEG-7 Edge Histogram64' numeric
@attribute 'MPEG-7 Edge Histogram65' numeric
@attribute 'MPEG-7 Edge Histogram66' numeric
@attribute 'MPEG-7 Edge Histogram67' numeric
@attribute 'MPEG-7 Edge Histogram68' numeric
@attribute 'MPEG-7 Edge Histogram69' numeric
@attribute 'MPEG-7 Edge Histogram70' numeric
@attribute 'MPEG-7 Edge Histogram71' numeric
@attribute 'MPEG-7 Edge Histogram72' numeric
@attribute 'MPEG-7 Edge Histogram73' numeric
@attribute 'MPEG-7 Edge Histogram74' numeric
@attribute 'MPEG-7 Edge Histogram75' numeric
@attribute 'MPEG-7 Edge Histogram76' numeric
@attribute 'MPEG-7 Edge Histogram77' numeric
@attribute 'MPEG-7 Edge Histogram78' numeric
@attribute 'MPEG-7 Edge Histogram79' numeric
@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine}

@data
image2176.png,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,4,2,4,5,0,4,5,0,6,4,3,0,0,0,0,4,0,0,0,0,4,0,1,0,4,6,1,4,3,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,6,0,0,0,0,2,0,0,0,0,6,3,15,16,11,16,10,16,15,16,16,16,15,21,16,19,15,16,15,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,Two
image4308.png,0,0,0,0,2,0,0,4,0,6,3,1,3,0,2,0,0,0,0,3,0,0,0,0,2,0,0,7,0,7,6,0,4,4,2,0,0,0,0,0,1,1,3,0,2,0,5,4,0,4,5,3,3,3,2,2,0,0,0,3,0,0,0,0,3,0,0,0,0,2,3,0,4,0,2,0,0,0,0,0,6,13,15,5,15,4,21,14,16,18,15,16,25,16,16,12,20,15,16,16,11,32,16,16,16,16,16,32,16,16,16,16,16,Four
image4567.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,6,0,4,0,0,0,0,0,1,0,0,0,2,2,3,4,4,6,1,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,17,14,11,15,9,13,18,14,18,15,17,20,17,19,17,15,17,14,16,16,32,16,16,16,16,16,32,16,16,16,16,16,Four
image3617.png,0,0,0,0,0,0,0,4,0,3,0,3,5,3,2,0,0,0,4,0,0,0,0,0,0,0,2,7,0,6,2,3,7,0,3,0,0,0,0,2,1,1,3,5,2,3,5,4,0,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,16,13,12,11,16,13,15,15,12,18,18,18,17,17,15,16,17,15,16,32,16,16,16,16,16,32,16,16,16,16,16,Three
image9456.png,0,0,3,0,4,0,3,7,0,3,0,2,0,7,3,0,0,0,0,0,6,0,0,0,3,4,0,5,0,6,6,0,4,4,4,0,0,0,0,2,1,0,0,0,5,0,5,0,6,4,6,1,3,0,6,0,0,0,0,3,0,0,0,0,2,0,2,5,0,6,0,0,7,0,6,0,0,0,0,2,7,15,18,7,17,3,18,15,16,13,14,14,21,14,15,12,13,13,16,16,10,32,16,16,16,16,16,32,16,16,16,16,16,Nine
image0471.png,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,7,0,6,5,3,0,0,6,0,0,0,0,2,1,0,3,5,2,2,0,6,4,7,0,0,7,0,5,0,0,0,0,4,0,0,0,0,4,0,2,0,0,4,0,0,0,0,2,0,0,0,0,6,4,17,15,9,14,9,13,16,14,16,16,17,22,18,17,15,16,17,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,Zero
image1573.png,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,7,0,0,7,0,4,0,0,0,0,0,0,0,5,0,2,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,18,15,12,13,11,13,14,15,14,13,18,20,18,16,15,19,17,19,14,18,32,16,16,16,16,16,32,16,16,16,16,16,One
image5580.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,5,5,6,2,4,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,6,4,6,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,4,2,0,4,0,3,0,0,0,0,0,3,17,13,12,15,7,13,19,15,14,17,15,19,16,20,16,14,16,17,17,14,32,16,16,16,16,16,32,16,16,16,16,16,Five
image0117.png,0,0,0,0,1,0,5,6,0,3,0,3,0,5,5,0,0,0,0,4,5,0,0,0,2,4,0,5,0,7,7,0,0,4,2,0,0,0,0,0,4,0,0,3,4,5,0,0,7,3,7,0,5,0,3,0,0,0,0,2,0,0,0,0,4,0,2,0,7,4,0,4,4,0,4,0,0,0,0,2,7,15,15,10,17,4,17,15,16,15,7,15,14,14,8,15,17,14,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,Zero
image1797.png,0,0,0,0,0,2,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,17,16,13,15,10,12,14,14,15,14,16,18,16,17,19,18,18,17,15,15,32,16,16,16,16,16,32,16,16,16,16,16,One
image7418.png,1,0,0,0,1,0,7,0,0,0,0,2,0,3,2,0,0,0,0,6,2,0,0,0,3,0,4,5,0,4,2,0,7,7,3,2,0,5,0,2,0,0,0,0,3,0,0,7,0,3,0,0,7,0,6,0,0,0,0,2,2,0,0,0,3,0,2,5,0,6,0,0,0,0,4,0,0,0,0,0,5,13,17,9,14,6,18,16,20,13,9,18,20,18,15,16,12,8,13,13,16,32,16,16,16,16,16,32,16,16,16,16,16,Seven
image6138.png,0,0,0,0,3,0,0,4,0,2,0,1,5,0,4,0,0,0,0,0,0,0,4,0,2,2,2,7,0,6,0,3,4,4,4,0,0,0,0,6,5,0,0,0,0,5,3,4,4,4,5,2,3,3,5,0,0,0,0,0,0,0,0,0,4,0,2,5,7,2,0,3,4,0,3,0,0,0,0,2,6,17,11,6,15,4,14,18,14,19,13,15,24,16,16,15,18,17,16,16,18,32,16,16,16,16,16,32,16,16,16,16,16,Six
image5680.png,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,3,3,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,2,17,15,13,14,12,14,16,15,16,15,16,18,17,17,16,16,17,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,Five
